Ownership Name,DBA Name,Street Address,City,State,Business Start Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code Description,Parking Tax,Transient Occupancy Tax,Supervisor District,Neighborhoods - Analysis Boundaries,Business Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
Merrill Lynch Pierce Etal Inc,Merrill,1275 Fell St,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,5,Hayes Valley,POINT (-122.438805 37.77388),24,7,11,9,24
Ken Chi Chuan Association,Ken Chi Chuan Association,3626 Taraval St Apt 3,San Francisco,CA,11/1/99,11/1/99,,3626 Taraval St 3 Apt,San Francisco,94116,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,4,Sunset/Parkside,POINT (-122.50496 37.741776),39,10,7,35,39
Merrill Lynch Pierce Etal Inc,Merrill,500 Battery St,San Francisco,CA,1/1/13,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.400475 37.795967),77,6,3,8,77
Fisher Marie F,Marie Fisher Interior Design,55 New Montgomery St Ste 801,San Francisco,CA,5/31/11,6/6/11,,1142 Grant Ave Fl 2,San Francisco,94133,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,6,Financial District/South Beach,POINT (-122.401215 37.78807),108,6,10,8,108
Shatara Suheil E,Shatara Architecture Inc,60 Divisadero St,San Francisco,CA,1/1/97,1/1/97,12/31/20,26 Lakeview Dr,Daly City,94015,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,8,Castro/Upper Market,POINT (-122.43654 37.768303),112,7,5,5,112
T W M Industries,Carls Jr Restaurant,10 Un Plaza,San+francisco,CA,1/1/85,1/1/91,11/30/17,899 Cherry Ave,San Bruno,94066,CA,Food Services,FALSE,FALSE,6,Tenderloin,POINT (-122.413055 37.78057),21,5,10,36,21
Henriquez Reinaldo,City Tours,705 Vallejo St #52,San Francisco,CA,4/15/88,1/1/09,,705 Vallejo St Rm 52,San Francisco,94133,CA,,FALSE,FALSE,3,Chinatown,POINT (-122.40897 37.798523),106,6,3,6,106
Chador Abraham & Co Inc,Abraham Chador & Co Inc,27 Maiden Lane  203,San Francisco,CA,7/1/78,8/1/14,,0000 Undeliverable Mail,San Francisco,99999,CA,Wholesale Trade,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40404 37.78834),19,6,3,8,19
Mission Language & Vocl Sch,Mlvs Technology Center,2929 19th St,San Francisco,CA,1/1/04,3/24/09,12/31/13,2929 19th St,San Francisco,94110,CA,Food Services,FALSE,FALSE,9,Mission,POINT (-122.41122 37.760384),53,3,2,20,53
John W De Roy Chiroprac Corp,John W Deroy Chiropractic Corp,120 Hickory St,San Francisco,CA,1/1/98,5/20/07,,120b Hickory St,San Francisco,94102,CA,Private Education and Health Services,FALSE,FALSE,5,Hayes Valley,POINT (-122.42146 37.77567),21,4,11,9,21
Walgreen Co,Walgreens #13671,3931 Alemany Blvd 2001,San Francisco,CA,10/1/68,4/1/09,7/7/15,300 Wilmot Rd # Stop,Deerfield,60015,IL,Retail Trade,FALSE,FALSE,7,Oceanview/Merced/Ingleside,POINT (-122.46833 37.710907),65,10,8,24,65
Blasko Peter B Et Al,2092-2098 California Street,2092 California St #98,San Francisco,CA,9/20/97,9/20/97,,1240 Woodside Rd Apt 18,Redwood City,94061,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,2,Pacific Heights,POINT (-122.42871 37.789585),102,4,6,30,102
Saddul Oscar Allado Md Inc,Dr Oscar Allado Saddul-Md,2460 Mission St Ste 215,San Francisco,CA,5/15/82,5/15/82,,2460 Mission St 217 Ste,San Francisco,94110,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,9,Mission,POINT (-122.419 37.757675),53,3,2,20,53
